r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
1,0,0,406420,6932,55964,0,0,0,0,1233,376,0,63,37,0,0,0
6,0,0,406040,6932,55964,0,0,0,4,1278,313,0,66,34,0,0,0
1,0,0,405860,6940,55968,0,0,0,12,1217,379,0,62,37,1,0,0
1,0,0,404780,6940,55968,0,0,0,4,1207,401,0,62,38,0,0,0
1,0,0,406008,6948,55972,0,0,0,12,1174,349,0,60,39,0,0,0
1,0,0,405408,6948,55972,0,0,0,0,1274,357,0,67,33,0,0,0
1,0,0,406360,6948,55976,0,0,0,6,1214,398,0,62,38,0,0,0
7,0,0,406872,6956,55976,0,0,0,12,1244,439,0,62,37,1,0,0
1,0,0,405840,6956,55980,0,0,0,0,1229,406,0,64,36,0,0,0
1,0,0,406156,6964,55984,0,0,0,16,1301,378,0,65,34,1,0,0
1,0,0,405464,6964,55984,0,0,0,0,1144,350,0,60,40,0,0,0
1,0,0,405988,6964,55984,0,0,0,4,1205,344,0,62,38,0,0,0
1,0,0,406272,6972,55992,0,0,0,12,1202,358,0,61,38,1,0,0
11,0,0,406592,6972,55992,0,0,0,0,1196,374,0,61,39,0,0,0
1,0,0,406204,6972,55996,0,0,0,6,1184,363,0,62,38,0,0,0
1,0,0,406308,6980,55996,0,0,0,12,1233,386,0,63,36,0,0,0
1,0,0,406252,6980,56000,0,0,0,0,1193,393,0,60,40,0,0,0
8,0,0,405864,6988,56000,0,0,0,16,1248,356,0,64,36,0,0,0
11,0,0,406868,6988,56004,0,0,0,0,1274,348,0,67,33,0,0,0
12,0,0,406600,6988,56004,0,0,0,4,1255,372,0,64,36,0,0,0
1,0,0,405744,6996,56008,0,0,0,12,1247,319,0,67,33,0,0,0
7,0,0,406028,6996,56008,0,0,0,0,1239,330,0,66,34,0,0,0
1,0,0,405532,7004,56012,0,0,0,18,1201,331,0,64,36,1,0,0
1,0,0,405356,7004,56012,0,0,0,0,1308,327,0,68,32,0,0,0
7,0,0,404512,7004,56016,0,0,0,0,1263,328,0,65,35,0,0,0
1,0,0,406000,7012,56016,0,0,0,16,1298,343,0,69,30,0,0,0
4,0,0,406512,7012,56020,0,0,0,0,1286,366,0,66,34,0,0,0
1,0,0,406204,7012,56020,0,0,0,4,1177,382,0,60,40,0,0,0
5,0,0,406700,7020,56024,0,0,0,12,1264,383,0,65,34,1,0,0
7,0,0,406332,7020,56024,0,0,0,0,1265,348,0,63,37,0,0,0
9,0,0,406400,7028,56028,0,0,0,6,1205,376,0,62,38,0,0,0
1,0,0,405960,7028,56032,0,0,0,0,1246,364,0,65,35,0,0,0
1,0,0,405692,7028,56032,0,0,0,0,1202,335,0,63,37,0,0,0
2,0,0,405808,7036,56032,0,0,0,6,1185,360,0,61,38,1,0,0
1,0,0,404636,7036,56036,0,0,0,0,1286,372,0,66,34,0,0,0
10,0,0,406296,7044,56040,0,0,0,6,1240,354,0,64,35,0,0,0
1,0,0,406124,7044,56040,0,0,0,0,1176,384,0,61,39,0,0,0
1,0,0,405732,7044,56040,0,0,0,0,1261,377,0,65,34,0,0,0
9,0,0,406124,7052,56044,0,0,0,6,1266,346,0,65,35,1,0,0
1,0,0,403456,7052,56044,0,0,0,0,1239,353,0,65,34,0,0,0
10,0,0,406320,7060,56040,0,0,0,6,1178,300,0,62,38,0,0,0
2,0,0,406356,7060,56048,0,0,0,0,1230,348,0,64,36,0,0,0
1,0,0,405272,7060,56052,0,0,0,0,1256,346,0,67,32,0,0,0
1,0,0,405412,7068,56044,0,0,0,30,1264,351,0,65,35,1,0,0
1,0,0,406272,7068,56056,0,0,0,0,1268,366,0,67,33,0,0,0
8,0,0,404976,7068,56056,0,0,0,0,1248,357,0,64,35,0,0,0
1,0,0,404292,7076,56060,0,0,0,6,1212,423,0,63,37,0,0,0
1,0,0,405408,7076,56060,0,0,0,0,1252,316,0,66,34,0,0,0
1,0,0,405632,7084,56064,0,0,0,6,1187,378,0,61,38,1,0,0
1,0,0,404344,7084,56064,0,0,0,0,1250,384,0,65,35,0,0,0
1,0,0,405276,7084,56068,0,0,0,0,1189,330,0,64,36,0,0,0
1,0,0,406136,7092,56072,0,0,0,6,1202,401,0,62,38,1,0,0
1,0,0,406040,7092,56076,0,0,0,0,1206,387,0,61,39,0,0,0
1,0,0,405664,7092,56076,0,0,0,0,1278,343,0,66,34,0,0,0
1,0,0,405320,7100,56080,0,0,0,6,1190,360,0,62,37,0,0,0
1,0,0,405556,7100,56084,0,0,0,0,1246,344,0,66,34,0,0,0
1,0,0,406132,7108,56088,0,0,0,6,1248,336,0,65,34,1,0,0
1,0,0,405144,7108,56088,0,0,0,0,1247,302,0,66,34,0,0,0
1,0,0,404188,7108,56092,0,0,0,16,1175,360,0,61,39,0,0,0
1,0,0,405552,7116,56092,0,0,0,12,1171,318,0,61,38,1,0,0
10,0,0,405716,7116,56092,0,0,0,0,1182,351,0,62,38,0,0,0
1,0,0,404848,7124,56096,0,0,0,6,1166,364,0,61,38,1,0,0
2,0,0,405680,7124,56096,0,0,0,0,1204,395,0,62,38,0,0,0
1,0,0,405744,7124,56100,0,0,0,0,1244,393,0,63,37,0,0,0
1,0,0,405856,7132,56100,0,0,0,6,1204,388,0,62,37,0,0,0
7,0,0,406288,7132,56104,0,0,0,0,1182,360,0,62,38,0,0,0
1,0,0,406028,7132,56104,0,0,0,0,1230,380,0,64,36,0,0,0
9,0,0,406216,7140,56108,0,0,0,6,1269,389,0,65,34,1,0,0
10,0,0,406404,7140,56108,0,0,0,0,1169,365,0,60,39,0,0,0
9,0,0,406096,7148,56104,0,0,0,6,1297,363,0,67,32,1,0,0
1,0,0,405692,7148,56112,0,0,0,0,1185,323,0,63,37,0,0,0
1,0,0,405276,7148,56116,0,0,0,0,1173,358,0,61,38,0,0,0
1,0,0,405516,7156,56116,0,0,0,6,1255,356,0,65,35,1,0,0
1,0,0,406204,7156,56120,0,0,0,18,1263,371,0,65,35,0,0,0
1,0,0,406016,7164,56120,0,0,0,12,1234,326,0,66,34,0,0,0
1,0,0,404556,7164,56124,0,0,0,0,1247,359,0,66,34,0,0,0
7,0,0,405512,7164,56124,0,0,0,6,1210,360,0,63,37,0,0,0
8,0,0,405860,7172,56128,0,0,0,6,1229,335,0,64,35,1,0,0
1,0,0,405468,7172,56128,0,0,0,0,1268,338,0,67,33,0,0,0
1,0,0,404864,7180,56128,0,0,0,18,1216,378,0,63,36,0,0,0
1,0,0,405236,7180,56132,0,0,0,0,1215,372,0,63,37,0,0,0
1,0,0,405720,7180,56132,0,0,0,4,1179,369,0,60,39,0,0,0
11,0,0,406408,7188,56136,0,0,0,12,1186,368,0,61,39,0,0,0
6,0,0,406104,7188,56136,0,0,0,0,1292,392,0,65,35,0,0,0
1,0,0,406320,7188,56140,0,0,0,6,1287,392,0,66,34,0,0,0
2,0,0,406092,7196,56144,0,0,0,12,1241,376,0,63,36,1,0,0
1,0,0,405580,7196,56144,0,0,0,4,1282,384,0,65,35,0,0,0
1,0,0,406272,7204,56148,0,0,0,12,1278,378,0,66,33,1,0,0
1,0,0,406440,7204,56148,0,0,0,0,1238,403,0,62,38,0,0,0
1,0,0,405272,7204,56152,0,0,0,6,1274,355,0,65,35,0,0,0
12,0,0,406248,7212,56152,0,0,0,12,1331,329,0,69,31,1,0,0
1,0,0,405184,7212,56156,0,0,0,4,1214,393,0,63,37,0,0,0
1,0,0,405792,7220,56148,0,0,0,12,1216,399,0,63,37,1,0,0
9,0,0,405448,7220,56164,0,0,0,0,1182,355,0,62,38,0,0,0
2,0,0,405612,7220,56164,0,0,0,4,1064,355,0,55,45,0,0,0
1,0,0,405428,7228,56168,0,0,0,12,1214,384,0,64,36,1,0,0
1,0,0,404712,7228,56168,0,0,0,0,1200,337,0,64,36,0,0,0
1,0,0,406008,7236,56160,0,0,0,16,1124,312,0,58,41,1,0,0
1,0,0,405492,7236,56172,0,0,0,0,1187,317,0,64,36,0,0,0
1,0,0,406136,7236,56176,0,0,0,4,1197,373,0,62,38,0,0,0
4,0,0,406032,7244,56184,0,0,0,12,1276,357,0,66,33,1,0,0
2,0,0,405552,7244,56184,0,0,0,0,1232,342,0,65,35,0,0,0
6,0,0,405336,7244,56188,0,0,0,6,1173,332,0,61,39,0,0,0
1,0,0,404088,7252,56188,0,0,0,12,1194,407,0,61,39,0,0,0
1,0,0,405752,7252,56192,0,0,0,0,1116,349,0,58,42,0,0,0
1,0,0,405456,7260,56192,0,0,0,6,1184,353,0,63,37,1,0,0
1,0,0,405464,7260,56196,0,0,0,0,1163,408,0,58,42,0,0,0
1,0,0,404948,7260,56196,0,0,0,0,1253,362,0,66,33,0,0,0
0,0,0,405648,7268,56196,0,0,0,6,1133,294,0,52,48,1,0,0
0,0,0,406416,7268,56200,0,0,0,0,1166,257,0,45,55,0,0,0
2,0,0,406260,7276,56204,0,0,0,6,1197,324,0,51,49,0,0,0
1,0,0,406124,7276,56204,0,0,0,0,1041,237,0,36,64,0,0,0
0,0,0,406568,7276,56204,0,0,0,0,769,169,0,21,79,0,0,0
1,0,0,405704,7284,56204,0,0,0,6,766,177,0,19,81,0,0,0
0,0,0,404952,7284,56204,0,0,0,0,891,153,0,28,72,0,0,0
1,0,0,406456,7284,56208,0,0,0,0,915,197,0,35,65,0,0,0
0,0,0,405996,7292,56208,0,0,0,6,784,170,0,25,74,1,0,0
1,0,0,405796,7292,56208,0,0,0,12,925,194,0,27,73,0,0,0
0,0,0,404964,7300,56208,0,0,0,12,746,176,0,18,82,0,0,0
1,0,0,404784,7300,56208,0,0,0,0,769,168,0,24,76,0,0,0
2,0,0,405884,7300,56212,0,0,0,6,818,199,0,26,74,0,0,0
0,0,0,405496,7308,56212,0,0,0,6,889,169,0,32,68,0,0,0
1,0,0,405060,7308,56212,0,0,0,0,700,172,0,20,80,0,0,0
2,0,0,405084,7308,56212,0,0,0,0,826,190,0,24,76,0,0,0
0,0,0,405132,7316,56212,0,0,0,6,982,183,0,34,65,0,0,0
1,0,0,404440,7316,56216,0,0,0,0,907,186,0,29,71,0,0,0
3,0,0,406340,7324,56216,0,0,0,6,898,212,0,29,71,1,0,0
0,0,0,404864,7324,56216,0,0,0,0,797,147,0,24,76,0,0,0
1,0,0,404644,7324,56216,0,0,0,0,724,146,0,18,82,0,0,0
2,0,0,405944,7332,56216,0,0,0,6,956,218,0,28,72,0,0,0
1,0,0,404804,7332,56220,0,0,0,0,892,214,0,26,74,0,0,0
2,0,0,404736,7332,56220,0,0,0,0,887,191,0,28,72,0,0,0
0,0,0,406400,7340,56220,0,0,0,6,932,208,0,31,69,0,0,0
0,0,0,405348,7340,56220,0,0,0,8,710,168,0,16,84,0,0,0
2,0,0,405796,7348,56220,0,0,0,12,823,178,0,27,73,0,0,0
0,0,0,405804,7348,56224,0,0,0,0,787,191,0,21,79,0,0,0
1,0,0,404556,7348,56224,0,0,0,0,675,150,0,16,84,0,0,0
1,0,0,406060,7356,56224,0,0,0,6,1037,203,0,39,61,0,0,0
1,0,0,406052,7356,56224,0,0,0,10,842,204,0,26,73,0,0,0
0,0,0,405744,7356,56228,0,0,0,0,941,197,0,32,68,0,0,0
0,0,0,406292,7364,56228,0,0,0,16,693,159,0,20,80,1,0,0
3,0,0,405852,7364,56228,0,0,0,0,917,190,0,29,71,0,0,0
1,0,0,405904,7372,56228,0,0,0,12,946,196,0,36,64,0,0,0
1,0,0,405296,7372,56228,0,0,0,8,789,163,0,25,75,0,0,0
1,0,0,405832,7372,56236,0,0,0,0,714,162,0,19,81,0,0,0
0,0,0,405324,7380,56236,0,0,0,6,806,181,0,20,80,0,0,0
0,0,0,404856,7380,56236,0,0,0,4,681,172,0,18,82,0,0,0
1,0,0,404752,7380,56236,0,0,0,0,854,169,0,25,75,0,0,0
3,0,0,406036,7388,56236,0,0,0,20,1060,216,0,34,66,0,0,0
0,0,0,405488,7388,56240,0,0,0,0,606,135,0,12,88,0,0,0
0,0,0,404620,7396,56240,0,0,0,6,993,214,0,31,68,1,0,0
1,0,0,405840,7396,56240,0,0,0,4,739,157,0,21,79,0,0,0
0,0,0,405244,7396,56240,0,0,0,0,1001,189,0,35,65,0,0,0
3,0,0,404352,7404,56240,0,0,0,12,781,178,0,20,80,0,0,0
0,0,0,404228,7404,56240,0,0,0,8,1012,186,0,33,67,0,0,0
1,0,0,404620,7404,56244,0,0,0,0,923,195,0,27,73,0,0,0
1,0,0,405088,7412,56244,0,0,0,6,795,176,0,24,76,0,0,0
0,0,0,406096,7412,56244,0,0,0,0,874,183,0,28,72,0,0,0
1,0,0,404060,7412,56244,0,0,0,0,869,180,0,24,76,0,0,0
4,0,0,405504,7420,56248,0,0,0,6,692,141,0,20,80,1,0,0
0,0,0,404700,7420,56248,0,0,0,0,934,208,0,30,70,0,0,0
0,0,0,404684,7420,56248,0,0,0,0,669,148,0,18,82,0,0,0
0,0,0,404212,7428,56248,0,0,0,6,958,194,0,30,70,0,0,0
0,0,0,404824,7428,56248,0,0,0,0,793,178,0,25,75,0,0,0
0,0,0,405604,7436,56248,0,0,0,6,753,167,0,24,76,0,0,0
0,0,0,405196,7436,56252,0,0,0,0,848,190,0,23,76,0,0,0
1,0,0,405740,7436,56252,0,0,0,0,758,158,0,20,80,0,0,0
0,0,0,405372,7444,56252,0,0,0,6,720,156,0,22,78,0,0,0
1,0,0,405028,7444,56252,0,0,0,0,743,181,0,21,79,0,0,0
0,0,0,405060,7444,56256,0,0,0,10,924,186,0,28,72,0,0,0
0,0,0,404856,7452,56256,0,0,0,12,909,190,0,30,70,0,0,0
1,0,0,404104,7452,56256,0,0,0,0,792,186,0,24,76,0,0,0
0,0,0,404928,7452,56256,0,0,0,6,787,177,0,21,79,0,0,0
1,0,0,405012,7460,56256,0,0,0,6,875,145,0,28,72,0,0,0
1,0,0,405612,7460,56260,0,0,0,0,838,195,0,27,73,0,0,0
0,0,0,404072,7468,56260,0,0,0,6,1102,230,0,37,63,0,0,0
0,0,0,405528,7468,56260,0,0,0,0,783,165,0,22,78,0,0,0
0,0,0,405920,7468,56260,0,0,0,0,837,172,0,26,74,0,0,0
0,0,0,405096,7476,56264,0,0,0,6,618,141,0,12,88,0,0,0
1,0,0,404700,7476,56268,0,0,0,0,852,170,0,27,73,0,0,0
0,0,0,405400,7476,56268,0,0,0,0,670,168,0,17,83,0,0,0
2,0,0,404152,7484,56268,0,0,0,6,796,194,0,20,80,0,0,0
0,0,0,404196,7484,56268,0,0,0,0,797,165,0,26,74,0,0,0
1,0,0,404392,7484,56268,0,0,0,0,689,159,0,18,82,0,0,0
0,0,0,405476,7492,56272,0,0,0,14,1049,226,0,32,68,0,0,0
0,0,0,405752,7492,56272,0,0,0,0,847,164,0,29,71,0,0,0
1,0,0,404068,7492,56272,0,0,0,0,835,171,0,24,76,0,0,0
0,0,0,405476,7500,56272,0,0,0,12,798,161,0,24,76,0,0,0
1,0,0,405056,7500,56280,0,0,0,0,903,294,1,26,73,0,0,0
4,0,0,404304,7508,56288,0,0,0,8,965,204,0,34,66,0,0,0
0,0,0,406212,7508,56288,0,0,0,14,1000,321,0,31,69,0,0,0
1,0,0,406544,7508,56288,0,0,0,0,711,161,0,19,81,0,0,0
0,0,0,404856,7516,56288,0,0,0,28,920,214,0,25,74,0,0,0
0,0,0,405704,7516,56292,0,0,0,0,842,165,0,26,74,0,0,0
1,0,0,405268,7516,56292,0,0,0,0,864,193,0,28,72,0,0,0
0,0,0,405704,7524,56292,0,0,0,6,946,230,0,27,73,0,0,0
1,0,0,404936,7524,56292,0,0,0,0,629,150,0,13,87,0,0,0
0,0,0,404824,7524,56292,0,0,0,0,805,149,0,26,74,0,0,0
0,0,0,405856,7532,56296,0,0,0,6,852,158,0,25,75,0,0,0
0,0,0,406536,7532,56296,0,0,0,0,551,131,0,11,89,0,0,0
0,0,0,406428,7540,56296,0,0,0,6,754,170,0,21,78,1,0,0
0,0,0,404776,7540,56296,0,0,0,0,831,179,0,28,72,0,0,0
0,0,0,406388,7540,56296,0,0,0,0,809,163,0,28,72,0,0,0
1,0,0,405572,7548,56300,0,0,0,6,660,150,0,18,81,0,0,0
2,0,0,405440,7548,56300,0,0,0,0,912,175,0,31,69,0,0,0
1,0,0,405072,7548,56300,0,0,0,0,814,177,0,23,77,0,0,0
1,0,0,406176,7556,56300,0,0,0,6,721,170,0,21,79,0,0,0
0,0,0,406500,7556,56300,0,0,0,0,910,178,0,27,73,0,0,0
0,0,0,404676,7564,56304,0,0,0,20,789,179,0,24,75,0,0,0
1,0,0,406320,7564,56304,0,0,0,0,967,218,0,31,69,0,0,0
1,0,0,405960,7564,56304,0,0,0,6,978,215,0,31,69,0,0,0
1,0,0,404672,7572,56304,0,0,0,6,928,181,0,34,65,1,0,0
0,0,0,406420,7572,56304,0,0,0,0,809,180,0,23,77,0,0,0
1,0,0,405964,7572,56308,0,0,0,4,1114,248,0,38,62,0,0,0
0,0,0,405680,7580,56308,0,0,0,12,718,147,0,18,81,0,0,0
0,0,0,404944,7580,56308,0,0,0,4,890,169,0,28,72,0,0,0
0,0,0,406080,7588,56308,0,0,0,12,1130,219,0,42,58,0,0,0
0,0,0,404224,7588,56312,0,0,0,0,754,294,1,16,83,0,0,0
2,0,0,403768,7588,56320,0,0,0,12,915,283,0,23,77,0,0,0
0,0,0,403212,7596,56320,0,0,0,14,1152,333,0,39,61,0,0,0
0,0,0,404300,7596,56320,0,0,0,10,889,288,0,26,74,0,0,0
1,0,0,404088,7596,56320,0,0,0,0,1017,311,0,31,69,0,0,0
0,0,0,404776,7604,56320,0,0,0,14,1126,321,0,40,60,0,0,0
0,0,0,403664,7608,57028,0,0,352,0,924,302,0,25,75,0,0,0
0,0,0,403140,7616,57020,0,0,0,10,957,228,0,32,68,0,0,0
1,0,0,404080,7616,57028,0,0,0,0,796,177,0,24,76,0,0,0
1,0,0,403568,7616,57028,0,0,0,0,739,138,0,21,79,0,0,0
0,0,0,403020,7624,57028,0,0,0,6,1019,188,0,34,66,0,0,0
1,0,0,403840,7624,57032,0,0,0,0,1023,203,0,36,64,0,0,0
0,0,0,402756,7624,57032,0,0,0,0,694,135,0,18,82,0,0,0
0,0,0,402708,7632,57032,0,0,0,6,746,171,0,21,79,0,0,0
0,0,0,402956,7632,57032,0,0,0,0,767,175,0,21,79,0,0,0
0,0,0,403360,7632,57032,0,0,0,0,852,173,0,25,75,0,0,0
1,0,0,403852,7640,57040,0,0,0,6,1046,240,0,34,66,0,0,0
1,0,0,403808,7640,57040,0,0,0,0,752,151,0,24,76,0,0,0
1,0,0,402212,7648,57040,0,0,0,6,958,238,0,31,69,0,0,0
2,0,0,405200,7648,57040,0,0,0,8,797,205,0,21,79,0,0,0
0,0,0,404240,7648,57040,0,0,0,0,707,158,0,16,84,0,0,0
0,0,0,405124,7656,57044,0,0,0,14,687,157,0,18,82,0,0,0
0,0,0,403788,7656,57044,0,0,0,12,774,194,0,19,81,0,0,0
1,0,0,404588,7656,57044,0,0,0,0,1016,208,0,34,66,0,0,0
1,0,0,405132,7664,57044,0,0,0,6,650,152,0,15,84,0,0,0
0,0,0,405532,7664,57044,0,0,0,0,747,161,0,21,79,0,0,0
1,0,0,405444,7672,57048,0,0,0,6,1057,233,0,37,62,1,0,0
0,0,0,404104,7672,57048,0,0,0,0,867,169,0,26,74,0,0,0
0,0,0,404960,7672,57048,0,0,0,0,810,169,0,25,75,0,0,0
0,0,0,403904,7680,57048,0,0,0,6,777,178,0,20,80,0,0,0
0,0,0,404568,7680,57052,0,0,0,0,1005,207,0,33,67,0,0,0
0,0,0,404964,7680,57052,0,0,0,0,763,172,0,19,81,0,0,0
0,0,0,405432,7688,57056,0,0,0,6,746,158,0,20,80,0,0,0
0,0,0,404688,7688,57056,0,0,0,0,679,144,0,17,83,0,0,0
1,0,0,403796,7688,57056,0,0,0,10,911,181,0,27,73,0,0,0
0,0,0,405292,7696,57060,0,0,0,12,907,211,0,26,74,0,0,0
0,0,0,404280,7696,57060,0,0,0,0,771,168,0,19,81,0,0,0
0,0,0,404724,7704,57060,0,0,0,6,903,176,0,31,69,0,0,0
1,0,0,405272,7704,57060,0,0,0,0,1040,218,0,33,67,0,0,0
0,0,0,404412,7704,57060,0,0,0,0,770,159,0,23,77,0,0,0
0,0,0,405308,7712,57064,0,0,0,22,789,165,0,23,77,0,0,0
8,0,0,403352,7712,57064,0,0,0,0,1228,316,0,55,45,0,0,0
1,0,0,401276,7712,57080,0,0,0,4,1238,538,0,66,34,0,0,0
2,0,0,403944,7720,57084,0,0,0,12,1112,379,0,57,42,0,0,0
0,0,0,404176,7720,57084,0,0,0,0,763,132,0,27,73,0,0,0
0,0,0,404212,7728,57084,0,0,0,16,625,118,0,15,85,0,0,0
0,0,0,404212,7728,57084,0,0,0,0,315,42,0,0,100,0,0,0
0,0,0,403580,7728,57084,0,0,0,8,519,98,0,8,92,0,0,0
1,0,0,403580,7728,57084,0,0,0,0,562,109,0,9,91,0,0,0
7,0,0,403852,7736,57084,0,0,0,6,763,177,0,24,75,1,0,0
0,0,0,403684,7736,57088,0,0,0,0,1200,392,0,61,39,0,0,0
1,0,0,403620,7736,57088,0,0,0,4,343,54,0,1,99,0,0,0
0,0,0,403744,7744,57088,0,0,0,12,515,95,0,11,89,0,0,0
0,0,0,403168,7744,57088,0,0,0,0,515,76,0,9,91,0,0,0
0,0,0,403168,7744,57088,0,0,0,8,323,48,0,0,100,0,0,0
0,0,0,403072,7752,57080,0,0,0,6,467,94,0,5,95,0,0,0
0,0,0,402496,7752,57088,0,0,0,0,461,88,0,6,94,0,0,0
1,0,0,403044,7752,57092,0,0,0,4,724,153,0,23,77,0,0,0
1,0,0,400804,7752,57092,0,0,0,0,1215,446,0,65,35,0,0,0
2,0,0,403224,7760,57092,0,0,0,12,716,203,0,24,75,1,0,0
0,0,0,403332,7760,57096,0,0,0,4,515,89,0,11,89,0,0,0
0,0,0,402536,7768,57092,0,0,0,12,465,88,0,6,94,0,0,0
0,0,0,402536,7768,57100,0,0,0,0,331,46,0,0,100,0,0,0
0,0,0,402152,7768,57100,0,0,0,0,599,96,0,12,88,0,0,0
0,0,0,402152,7768,57100,0,0,0,0,405,70,0,3,97,0,0,0
1,0,0,401712,7776,57100,0,0,0,6,714,178,0,22,77,1,0,0
1,0,0,402008,7776,57100,0,0,0,0,1198,407,0,65,35,0,0,0
4,0,0,402620,7776,57104,0,0,0,0,588,122,0,16,84,0,0,0
0,0,0,401720,7784,57104,0,0,0,6,781,107,0,27,73,0,0,0
0,0,0,401720,7784,57104,0,0,0,0,499,94,0,7,93,0,0,0
0,0,0,401720,7784,57104,0,0,0,0,322,42,0,0,100,0,0,0
0,0,0,401600,7792,57096,0,0,0,6,620,127,0,11,89,0,0,0
0,0,0,402936,7792,57104,0,0,0,0,456,81,0,6,94,0,0,0
1,0,0,402220,7792,57104,0,0,0,0,677,176,0,20,80,0,0,0
1,0,0,400216,7792,57108,0,0,0,0,1214,435,0,65,35,0,0,0
3,0,0,402636,7800,57108,0,0,0,6,554,113,0,16,84,0,0,0
0,0,0,401788,7800,57108,0,0,0,6,534,70,0,12,88,0,0,0
0,0,0,401788,7800,57108,0,0,0,0,417,70,0,3,97,0,0,0
0,0,0,401788,7808,57108,0,0,0,12,324,54,0,0,99,0,0,0
0,0,0,401692,7808,57108,0,0,0,0,450,75,0,6,94,0,0,0
0,0,0,401500,7808,57108,0,0,0,0,443,90,0,5,95,0,0,0
8,0,0,402696,7816,57108,0,0,0,14,800,162,0,25,75,0,0,0
2,0,0,402776,7816,57112,0,0,0,0,1212,382,0,64,36,0,0,0
1,0,0,402468,7816,57112,0,0,0,0,463,73,0,7,93,0,0,0
0,0,0,401960,7824,57112,0,0,0,16,609,129,0,12,88,0,0,0
0,0,0,402936,7824,57112,0,0,0,0,513,77,0,10,90,0,0,0
0,0,0,402936,7824,57112,0,0,0,0,332,42,0,0,100,0,0,0
0,0,0,402456,7832,57104,0,0,0,14,444,92,0,5,95,0,0,0
0,0,0,402748,7832,57112,0,0,0,0,535,88,0,12,88,0,0,0
1,0,0,401664,7832,57112,0,0,0,0,778,170,0,29,71,0,0,0
1,0,0,401452,7832,57116,0,0,0,2,1203,422,0,64,36,0,0,0
1,0,0,401300,7840,57116,0,0,0,6,693,172,0,23,76,1,0,0
0,0,0,402448,7840,57116,0,0,0,4,488,103,0,7,93,0,0,0
0,0,0,401656,7840,57116,0,0,0,0,581,75,0,14,86,0,0,0
0,0,0,401656,7848,57116,0,0,0,12,326,50,0,0,100,0,0,0
0,0,0,401532,7848,57120,0,0,0,10,453,87,0,5,94,0,0,0
0,0,0,401244,7848,57120,0,0,0,0,456,77,0,6,94,0,0,0
1,0,0,402288,7856,57120,0,0,0,6,713,188,0,22,77,0,0,0
1,0,0,402140,7856,57120,0,0,0,0,1224,407,0,64,36,0,0,0
1,0,0,401988,7856,57124,0,0,0,0,485,93,0,9,91,0,0,0
0,0,0,401124,7864,57124,0,0,0,6,551,94,0,11,89,0,0,0
0,0,0,402928,7864,57124,0,0,0,0,600,116,0,14,86,0,0,0
0,0,0,402928,7864,57124,0,0,0,0,321,41,0,0,100,0,0,0
0,0,0,402832,7864,57124,0,0,0,0,605,90,0,16,84,0,0,0
0,0,0,402612,7872,57124,0,0,0,6,399,74,0,3,97,0,0,0
1,0,0,402112,7872,57124,0,0,0,0,775,207,0,26,74,0,0,0
0,0,0,402736,7872,57132,0,0,0,0,1206,390,0,64,36,0,0,0
0,0,0,402096,7880,57132,0,0,0,6,415,74,0,5,95,0,0,0
0,0,0,402784,7880,57132,0,0,0,0,505,76,0,11,89,0,0,0
0,0,0,402732,7880,57132,0,0,0,0,518,79,0,12,88,0,0,0
0,0,0,402608,7888,57132,0,0,0,20,335,49,0,0,100,0,0,0
0,0,0,401840,7888,57132,0,0,0,0,559,97,0,10,90,0,0,0
0,0,0,401360,7888,57132,0,0,0,0,463,76,0,7,93,0,0,0
2,0,0,402268,7896,57132,0,0,0,12,743,198,0,26,74,0,0,0
1,0,0,401148,7896,57136,0,0,0,0,1176,410,0,63,37,0,0,0
1,0,0,401132,7896,57136,0,0,0,4,727,157,0,26,74,0,0,0
0,0,0,402288,7904,57136,0,0,0,12,584,99,0,13,87,0,0,0
0,0,0,401616,7904,57136,0,0,0,0,481,77,0,7,93,0,0,0
0,0,0,401616,7904,57136,0,0,0,8,326,48,0,0,100,0,0,0
0,0,0,402692,7912,57136,0,0,0,6,595,89,0,15,85,0,0,0
0,0,0,402688,7912,57136,0,0,0,0,514,86,0,10,90,0,0,0
5,0,0,402344,7912,57136,0,0,0,2,795,203,0,25,74,0,0,0
1,0,0,402404,7920,57140,0,0,0,6,1181,393,0,63,37,1,0,0
1,0,0,401728,7920,57140,0,0,0,0,561,100,0,15,85,0,0,0
0,0,0,401728,7928,57132,0,0,0,16,380,71,0,1,98,0,0,0
0,0,0,401344,7928,57144,0,0,0,0,501,87,0,9,91,0,0,0
0,0,0,401344,7928,57144,0,0,0,0,321,44,0,0,100,0,0,0
0,0,0,402416,7936,57136,0,0,0,14,686,149,0,15,85,0,0,0
0,0,0,402224,7936,57144,0,0,0,0,625,127,0,12,88,0,0,0
1,0,0,400648,7936,57148,0,0,0,4,771,175,0,26,74,0,0,0
1,0,0,401624,7936,57148,0,0,0,0,1159,422,0,62,38,0,0,0
1,0,0,401948,7944,57148,0,0,0,12,853,160,0,36,64,1,0,0
0,0,0,402416,7944,57152,0,0,0,8,523,84,0,10,90,0,0,0
0,0,0,402128,7944,57152,0,0,0,0,573,101,0,10,89,0,0,0
1,0,0,402128,7952,57152,0,0,0,6,319,48,0,0,100,0,0,0
0,0,0,401140,7952,57152,0,0,0,0,598,75,0,15,85,0,0,0
0,0,0,400920,7952,57152,0,0,0,0,513,84,0,9,91,0,0,0
