r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu
0,0,0,420320,6104,43536,0,0,0,12,971,271,0,42,58,0,0,0
1,0,0,420112,6104,43536,0,0,0,4,885,217,0,39,61,0,0,0
1,0,0,420696,6112,43536,0,0,0,12,1202,299,0,54,46,0,0,0
2,0,0,419748,6112,43540,0,0,0,4,1203,284,0,52,48,0,0,0
2,0,0,420424,6112,43540,0,0,0,0,970,260,0,40,60,0,0,0
2,0,0,419312,6120,43548,0,0,0,12,910,250,0,38,61,1,0,0
1,0,0,420192,6120,43548,0,0,0,4,1379,314,0,63,37,0,0,0
1,0,0,419120,6128,43552,0,0,0,12,1088,314,0,41,58,1,0,0
1,0,0,419984,6128,43552,0,0,0,0,930,240,0,37,63,0,0,0
1,0,0,420364,6128,43556,0,0,0,4,1280,317,0,58,42,0,0,0
2,0,0,420040,6136,43560,0,0,0,12,1240,290,0,54,46,1,0,0
2,0,0,419828,6136,43560,0,0,0,4,985,246,0,42,58,0,0,0
0,0,0,420600,6136,43564,0,0,0,0,974,228,0,42,58,0,0,0
1,0,0,419604,6144,43564,0,0,0,12,864,235,0,37,63,0,0,0
1,0,0,420120,6144,43564,0,0,0,4,978,243,0,42,57,0,0,0
1,0,0,420376,6152,43568,0,0,0,12,1280,277,0,55,44,0,0,0
4,0,0,420116,6152,43568,0,0,0,4,1121,264,0,48,52,0,0,0
0,0,0,419952,6152,43572,0,0,0,0,1310,277,0,60,40,0,0,0
0,0,0,420112,6160,43572,0,0,0,12,1159,285,0,50,49,1,0,0
1,0,0,420104,6160,43572,0,0,0,0,795,237,0,32,68,0,0,0
1,0,0,420160,6160,43576,0,0,0,0,1174,273,0,53,47,0,0,0
1,0,0,419968,6168,43576,0,0,0,6,1267,316,0,63,37,1,0,0
1,0,0,419916,6168,43580,0,0,0,0,1297,317,0,59,41,0,0,0
1,0,0,418640,6176,43580,0,0,0,6,846,216,0,34,66,0,0,0
1,0,0,420520,6176,43580,0,0,0,0,1118,295,0,47,53,0,0,0
1,0,0,419056,6176,43584,0,0,0,0,819,237,0,35,65,0,0,0
1,0,0,420508,6184,43584,0,0,0,6,1097,305,0,46,54,1,0,0
2,0,0,419292,6184,43588,0,0,0,0,1151,245,0,51,49,0,0,0
1,0,0,420476,6192,43588,0,0,0,6,1119,284,0,48,52,1,0,0
0,0,0,420496,6192,43588,0,0,0,0,951,248,0,41,59,0,0,0
0,0,0,420284,6192,43592,0,0,0,0,908,259,0,34,66,0,0,0
1,0,0,420448,6200,43592,0,0,0,6,998,246,0,42,58,0,0,0
1,0,0,420280,6200,43596,0,0,0,14,1039,255,0,48,52,0,0,0
0,0,0,420536,6200,43596,0,0,0,0,1045,280,0,47,53,0,0,0
1,0,0,419216,6208,43596,0,0,0,18,886,239,0,37,62,1,0,0
1,0,0,418896,6208,43600,0,0,0,0,1010,260,0,43,57,0,0,0
0,0,0,420048,6228,43600,0,0,6,8,1067,296,0,45,54,1,0,0
1,0,0,420244,6228,43604,0,0,0,10,1229,319,0,52,48,0,0,0
1,0,0,420440,6228,43604,0,0,0,0,1154,267,0,47,53,0,0,0
0,0,0,420588,6236,43604,0,0,0,12,1243,317,0,56,43,0,0,0
1,0,0,420080,6236,43608,0,0,0,6,1112,266,0,44,56,0,0,0
1,0,0,418888,6236,43608,0,0,0,0,1024,242,0,36,64,0,0,0
0,0,0,420576,6244,43612,0,0,0,16,1050,253,0,41,58,1,0,0
1,0,0,419996,6244,43612,0,0,0,0,976,218,0,34,66,0,0,0
1,0,0,420296,6252,43616,0,0,0,12,970,281,0,37,62,0,0,0
1,0,0,420312,6252,43616,0,0,0,4,1125,294,0,49,51,0,0,0
1,0,0,419796,6252,43616,0,0,0,0,1225,276,0,58,42,0,0,0
0,0,0,419032,6260,43620,0,0,0,16,953,246,0,33,67,0,0,0
0,0,0,420344,6260,43620,0,0,0,0,1186,277,0,50,50,0,0,0
1,0,0,420316,6268,43612,0,0,0,12,1015,246,0,37,62,0,0,0
2,0,0,419416,6268,43624,0,0,0,4,1092,257,0,39,61,0,0,0
1,0,0,420228,6268,43624,0,0,0,0,1284,288,0,62,38,0,0,0
1,0,0,419452,6276,43628,0,0,0,12,1232,301,0,61,38,1,0,0
1,0,0,420360,6276,43628,0,0,0,4,1086,285,0,47,52,0,0,0
1,0,0,419924,6276,43636,0,0,0,0,1185,291,0,53,47,0,0,0
1,0,0,419152,6284,43636,0,0,0,16,1349,258,0,60,39,0,0,0
1,0,0,420324,6284,43636,0,0,0,0,1116,264,0,46,54,0,0,0
0,0,0,420464,6292,43644,0,0,0,12,1220,266,0,56,44,0,0,0
1,0,0,420024,6292,43644,0,0,0,4,1111,249,0,48,52,0,0,0
2,0,0,419972,6292,43644,0,0,0,0,1081,224,0,42,58,0,0,0
2,0,0,419852,6300,43648,0,0,0,16,971,251,0,37,63,0,0,0
1,0,0,420068,6300,43648,0,0,0,0,1314,285,0,57,43,0,0,0
2,0,0,418684,6308,43652,0,0,0,12,1230,291,0,59,41,0,0,0
0,0,0,419752,6308,43652,0,0,0,4,1141,271,0,48,52,0,0,0
1,0,0,419152,6308,43652,0,0,0,0,992,247,0,35,65,0,0,0
1,0,0,419060,6316,43656,0,0,0,16,1058,231,0,41,59,1,0,0
0,0,0,419852,6316,43656,0,0,0,0,1173,286,0,51,49,0,0,0
1,0,0,419752,6316,43660,0,0,0,0,1074,242,0,40,60,0,0,0
2,0,0,419488,6324,43660,0,0,0,16,1128,257,0,49,51,1,0,0
1,0,0,418780,6324,43664,0,0,0,0,1184,272,0,55,45,0,0,0
1,0,0,419772,6332,43664,0,0,0,12,1108,242,0,45,55,0,0,0
1,0,0,418672,6332,43668,0,0,0,4,1216,285,0,55,45,0,0,0
0,0,0,420220,6332,43668,0,0,0,0,1307,305,0,63,37,0,0,0
1,0,0,419868,6340,43668,0,0,0,16,1233,275,0,56,43,0,0,0
1,0,0,414056,6340,49404,0,0,2862,0,1241,372,0,56,43,2,0,0
1,0,0,409252,6348,52004,0,0,1300,12,1201,325,0,65,34,1,0,0
1,0,0,409524,6348,52788,0,0,378,6,1160,353,0,62,38,0,0,0
1,0,0,410404,6348,53020,0,0,116,0,1240,386,0,62,37,0,0,0
1,0,0,410868,6356,53024,0,0,0,12,1346,331,0,61,38,1,0,0
1,0,0,410348,6356,53024,0,0,0,4,1256,296,0,55,45,0,0,0
1,0,0,410684,6356,53028,0,0,0,0,1269,331,0,60,39,0,0,0
7,0,0,409160,6364,53028,0,0,0,12,1314,305,0,65,35,0,0,0
1,0,0,409980,6364,53032,0,0,0,0,1188,360,0,61,39,0,0,0
1,0,0,410080,6372,53032,0,0,0,6,1254,401,0,65,34,0,0,0
1,0,0,409792,6372,53036,0,0,0,0,1178,344,0,61,39,0,0,0
2,0,0,409116,6372,53036,0,0,0,0,1161,316,0,63,37,0,0,0
1,0,0,409128,6380,53036,0,0,0,6,1205,369,0,64,35,1,0,0
1,0,0,409260,6380,53040,0,0,0,0,1167,335,0,64,36,0,0,0
1,0,0,409944,6388,53040,0,0,0,6,1242,390,0,66,34,0,0,0
5,0,0,410300,6388,53044,0,0,0,0,1235,376,0,63,37,0,0,0
0,0,0,410812,6388,53044,0,0,0,0,1130,365,0,50,49,0,0,0
