Timestamp,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Zswap,Zswapped,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,SecPageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,CmaTotal,CmaFree,Unaccepted,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1699520604,7419132,3155428,3859572,19068,888136,265852,1759984,1024460,1465196,464412,294788,560048,32,32,4194300,2374848,407564,1804080,340,0,1873156,557632,52624,133676,329320,133676,195644,18936,50332,0,0,0,0,7903864,13296556,34359738367,91856,0,12288,0,890880,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520605,7419132,3367732,4074584,19308,891440,261716,1556864,1017480,1259972,456828,296892,560652,32,32,4194300,2396096,405800,1782832,80,0,1660868,558148,52636,133676,329268,133676,195592,19008,50364,0,0,0,0,7903864,13242736,34359738367,91888,0,12288,0,686080,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520606,7419132,3263020,4006020,19340,926120,230396,1641468,1042816,1309208,482276,332260,560540,32,32,4194300,2401728,405780,1777200,192,0,1735132,576936,52640,135460,331048,135460,195588,18976,50276,0,0,0,0,7903864,13280188,34359738367,91920,0,12288,0,788480,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520607,7419132,3269812,4041288,19312,954604,178828,1590416,1081300,1261080,489360,329336,591940,32,32,4194300,2424512,404616,1754416,232,0,1694348,599464,52640,135460,331284,135460,195824,19072,50404,0,0,0,0,7903864,13252844,34359738367,91856,0,12288,0,765952,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520608,7419132,3335220,4130060,19312,977492,146656,1538624,1056512,1180868,469676,357756,586836,32,32,4194300,2438336,404228,1740608,232,0,1594172,624272,52640,135556,331128,135556,195572,19040,50260,0,0,0,0,7903864,13288632,34359738367,91888,0,12288,0,694272,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520609,7419132,3225680,4058360,19312,1015668,103736,1611156,1098528,1275044,452192,336112,646336,32,32,4194300,2446016,403936,1732676,232,0,1636288,646308,52644,135524,331348,135524,195824,19024,50384,0,0,0,0,7903864,13253040,34359738367,91888,0,12288,0,768000,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520611,7419132,3128308,3959396,19244,1013772,98600,1732932,1076052,1351508,476620,381424,599432,32,32,4194300,2457024,403640,1721664,232,0,1772196,643768,52448,135524,331060,135524,195536,19008,50276,0,0,0,0,7903864,13288180,34359738367,91872,0,12288,0,892928,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520612,7419132,3278108,4125044,19244,1029536,86828,1587268,1069760,1226676,433632,360592,636128,32,32,4194300,2452524,403436,1726112,224,0,1604668,662420,52448,135492,331028,135492,195536,19008,50340,0,0,0,0,7903864,13288212,34359738367,91952,0,12288,0,737280,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520613,7419132,3183012,4034164,19252,1034324,82384,1683300,1067028,1301496,447896,381804,619132,32,32,4194300,2452012,403356,1726660,228,0,1693740,660252,52448,135492,331044,135492,195552,19024,50428,0,0,0,0,7903864,13287912,34359738367,91840,0,12288,0,831488,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520614,7419132,3218388,4074772,19252,1039392,86840,1651752,1066604,1295512,416676,356240,649928,32,32,4194300,2437956,403168,1740760,228,0,1655964,666332,52448,135492,331280,135492,195788,19008,49984,0,0,0,0,7903864,13287472,34359738367,91904,0,12288,0,800768,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
